ambient_C,helmholtz_cop,NIST_cop,GCGP_cop,SPGP_cop,NIST_converged,GCGP_converged,SPGP_converged,NIST_pct_vs_helmholtz,GCGP_pct_vs_helmholtz,SPGP_pct_vs_helmholtz,NIST_max_residual,GCGP_max_residual,SPGP_max_residual
10,3.95,3.567652509099732,3.493096242574406,1.273697113409063,True,True,False,-9.68,-11.57,,,,218088.55710103456
15,3.53,3.397421673405592,3.244509090005196,1.0775864159303934,True,True,False,-3.76,-8.09,,,,321950.94108420634
20,3.19,3.1316083594949524,3.4339593338251393,0.9947260450964401,True,True,False,-1.83,7.65,,,,442485.7536557631
25,2.91,2.800516232546622,2.8748614078182526,0.851499961260573,True,True,False,-3.76,-1.21,,,,580921.3941687963
