ambient_C,cop
20.0,4.489644125940906
20.5,4.470450603107702
21.0,4.451201488951281
21.5,4.439067060530501
22.0,4.419245094030926
22.5,4.399459780652593
23.0,4.386695085152051
23.5,4.366360591953908
24.0,4.347787659763405
24.5,4.333015129272785
25.0,4.3122031286943
25.5,4.297165269407877
26.0,4.276058461667555
26.5,4.2609826281117416
27.0,4.2404992641431125
27.5,4.224417785283272
28.0,4.205990123067899
28.5,4.187759969717245
29.0,4.169437313119721
29.5,4.151053393871521
30.0,4.1326159639870825
