T_K,status,rho_l_molm3,rho_v_molm3,rho_l_kgm3,rho_v_kgm3,p_Pa,h_l_Jmol,h_v_Jmol,r_P,r_mu,iterations,x1_molmol,w1_kgkg,notes
240.0,CONVERGED,3608.472746974726,256.21594901717447,423.93999194497644,30.101429324519778,435288.5299218068,45248.622511171765,41164.75371650522,7.702388273860551e-14,3.931097816737409e-15,23,0.9385037942295681,0.911,The solution converged.
240.73743016759778,CONVERGED,3601.7105932002105,252.4375790669452,423.1455429861747,29.65752902691929,431680.2901189182,45753.19804505229,41245.73552560012,2.873165319645453e-12,5.1118122058479267e-14,11,0.9385037942295681,0.911,The solution converged.
241.47486033519553,CONVERGED,3595.60634928215,248.53813182262465,422.4283883063666,29.199404011361647,427807.39192201855,46220.5585575167,41327.146135078336,2.5818828621252447e-12,2.027155688805468e-14,11,0.9385037942295681,0.911,The solution converged.
242.2122905027933,CONVERGED,3590.0932334305003,244.55320420364853,421.78068207339044,28.731236367832572,423716.04173989093,46646.77325565989,41408.869038265126,1.874196489190115e-12,1.3887207729111469e-14,11,0.9385037942295681,0.911,The solution converged.
242.94972067039106,CONVERGED,3585.1104762418413,240.51722293876108,421.19528481794634,28.257070706927706,419453.03713511664,47028.10415830916,41490.79295074126,2.3828263406355773e-12,6.753685662693121e-16,11,0.9385037942295681,0.911,The solution converged.
243.68715083798884,CONVERGED,3580.6029788955575,236.46310156200323,420.66572327691,27.780773862162118,415065.19390276517,47361.05398052204,41572.81281794652,1.0405614595549705e-13,5.835481686213633e-15,12,0.9385037942295681,0.911,The solution converged.
244.4245810055866,CONVERGED,3576.520929019094,232.42197267253414,420.1861452634145,27.306003434621424,410598.8255231222,47642.411824596245,41654.830561902614,5.0892864199773616e-14,4.0277603140317945e-15,12,0.9385037942295681,0.911,The solution converged.
245.16201117318437,CONVERGED,3572.819397650108,228.42299209128652,419.751272316108,26.83618478438399,406099.2830672623,47869.295782991096,41736.75558442071,3.3540055896861534e-14,1.5616397583738866e-15,12,0.9385037942295681,0.911,The solution converged.
245.89944134078212,CONVERGED,3569.4579340408955,224.49320964296203,419.3563520949126,26.374495849394822,401610.56079281436,48039.19167034975,41818.50504969622,1.3174644527746333e-13,7.784782710432529e-15,12,0.9385037942295681,0.911,The solution converged.
246.6368715083799,CONVERGED,3566.4001699207683,220.65749999601422,418.99711188794606,25.92385902022835,397174.970038664,48149.9872166223,41900.003972602455,1.3014013165564618e-13,7.983263987474816e-15,13,0.9385037942295681,0.911,The solution converged.
247.37430167597765,CONVERGED,3563.6134409384763,216.93854622577814,418.6697141368348,25.486939209009204,392832.8816217674,48200.00117005865,41981.18514061001,4.104422727157228e-14,7.738369371779544e-15,12,0.9385037942295681,0.911,The solution converged.
248.11173184357543,CONVERGED,3561.068430098287,213.35686844412893,418.370714545943,25.066147212956338,388622.53487534256,48188.006876549494,42061.98889741831,7.698662590196732e-14,9.699321814197914e-15,11,0.9385037942295681,0.911,The solution converged.
248.84916201117318,CONVERGED,3558.7388358649473,209.93088987014278,418.09702308981514,24.66364747666845,384579.90976295096,48113.250019299914,42142.36281543619,4.903865661518306e-14,1.7582871294252783e-15,11,0.9385037942295681,0.911,The solution converged.
