status,T_K,P_Pa,rho_l_molm3,rho_v_molm3,x1_liq,y1_vap,h_l_Jmol,h_v_Jmol,r_P,r_mu,iterations,notes
CONVERGED,250.0,709743.6396174594,3569.8933131694816,450.78156217020654,0.9385037942295681,0.999990428171419,47945.56754194424,40822.397591928704,6.2132467903215165e-12,1.738879516596516e-08,24,The solution converged.
CONVERGED,252.82051282051282,752279.1346504848,3563.9441228864034,478.1734280307434,0.9385037942295681,0.9999969004629117,46734.64214461843,41011.18023626174,2.2253074035465591e-13,1.0038611271884369e-07,22,The solution converged.
CONVERGED,255.64102564102564,795982.760366562,3559.4787213615245,506.4529706218496,0.9385037942295681,0.9999987759964488,44706.74002275228,41201.225432950174,2.154211273172048e-10,8.212754745811976e-08,15,The solution converged.
CONVERGED,258.46153846153845,840811.1654560625,3555.9781872270055,535.5945373026069,0.9385037942295681,0.9999993785183404,42039.82762646269,41392.68424346831,9.773052790062437e-12,2.0912313177334476e-08,16,The solution converged.
CONVERGED,261.28205128205127,886706.0825232712,3553.092030320538,565.5540857557231,0.9385037942295681,0.9999995809836456,38973.024329776505,41585.78314270663,3.770267287714274e-09,1.332813707836735e-08,20,The solution converged.
CONVERGED,264.1025641025641,933587.6508155607,3550.5768517403058,596.2600750963732,0.9385037942295681,0.9999996212275437,35773.30272949215,41780.8259727543,8.867096771424086e-11,1.8142189173507439e-09,15,The solution converged.
CONVERGED,266.9230769230769,981336.640685926,3548.2610417281535,627.5914767001948,0.9385037942295681,0.999999546315369,32703.063802294073,41978.24570704396,1.4460917021078756e-13,6.584042148054586e-09,20,The solution converged.
CONVERGED,269.7435897435897,1029748.3364598672,3546.0316551284427,659.3223468969044,0.9385037942295681,0.999999301013072,29995.105495651573,42178.74917621077,1.576365433378124e-08,3.7625325919079606e-08,21,The solution converged.
CONVERGED,272.56410256410254,1078427.8754330436,3543.848276872346,690.9951896732881,0.9385037942295681,0.9999986726062577,27839.346519141014,42383.64686271618,6.5728881056138005e-09,7.058538299691064e-09,18,The solution converged.
CONVERGED,275.38461538461536,1126585.7304029565,3541.799600230438,721.6705588916321,0.9385037942295681,0.9999970446526838,26382.373486478453,42595.48787778833,2.6484814974209373e-09,3.141071461144766e-08,24,The solution converged.
CONVERGED,278.20512820512823,1172704.9964103245,3540.231468579378,749.5234031894073,0.9385037942295681,0.9999926769451104,25736.693703301684,42819.038188077466,5.9562458853650995e-15,2.291546250634538e-08,25,The solution converged.
CONVERGED,281.02564102564105,1214118.9027738338,3539.985207213926,771.3844988185473,0.9385037942295681,0.999980778931547,25992.501577404564,43062.29406159685,1.6371722460300817e-11,2.307187706258204e-08,16,The solution converged.
CONVERGED,283.84615384615387,1246691.0941019212,3542.775496463381,782.6187405402998,0.9385037942295681,0.999948823865343,27223.157037749264,43336.51903202151,7.214757344303899e-11,9.077228132469517e-09,15,The solution converged.
CONVERGED,286.6666666666667,1264962.6914747606,3551.660285266398,777.9833816684591,0.9385037942295681,0.9998664535584137,29479.124380182595,43653.859089196136,6.0659233224587375e-12,3.1599333484235374e-09,16,The solution converged.
CONVERGED,289.4871794871795,1263091.2009677938,3571.3074253868394,753.6556583005085,0.9385037942295681,0.9996662654749526,32772.29742195908,44022.524645649326,5.550609874520842e-11,1.427718572426231e-08,18,The solution converged.
CONVERGED,292.3076923076923,1236537.3000784535,3607.237392582144,709.3512548262546,0.9385037942295681,0.9992096893676571,37050.195690104665,44442.614620939035,5.187499306588899e-09,1.735720019624845e-08,25,The solution converged.
DIVERGED,295.12820512820514,1309850.4211808057,3667.5484196765033,811.080946124063,0.9385037942295681,0.999999999999,42187.83701769593,44491.82020016126,0.0830652811748695,0.4816849250342679,52,"The iteration is not making good progress, as measured by the 
 improvement from the last ten iterations."
